UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
AGG ASSAULT,170593064,02/28/2017,425 CHAPEL ST SW,507,Castleberry Hill,M,33.75285,-84.40152,
LARCENY-NON VEHICLE,170593149,02/28/2017,2151 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81356,-84.35129,
AGG ASSAULT,170593210,02/28/2017,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671,
AUTO THEFT,170593240,02/28/2017,1749 EMERALD AVE SW,404,Westview,T,33.74232,-84.44505,
LARCENY-FROM VEHICLE,170593272,02/28/2017,2591 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82494,-84.36684,
AGG ASSAULT,170571182,02/27/2017,179 ARCADIA CIR NW,105,Hunter Hills,K,33.75969,-84.42634,
AUTO THEFT,170580003,02/27/2017,1936 PIEDMONT CIR NE,212,Piedmont Heights,F,33.80965,-84.36831,
LARCENY-FROM VEHICLE,170580065,02/27/2017,936 MYRTLE ST NE,503,Midtown,E,33.7802,-84.37988,
AGG ASSAULT,170580286,02/27/2017,984 CONLEY RD SE,313,South River Gardens,Z,33.65002,-84.35705,
AUTO THEFT,170580322,02/27/2017,736 ALINE DR NW,112,Collier Heights,I,33.77548,-84.4894,
ROBBERY-COMMERCIAL,170580703,02/27/2017,180 PONCE DE LEON AVE NE,505,Midtown,E,33.77285,-84.38149,
LARCENY-FROM VEHICLE,170580709,02/27/2017,1212 JAMES JACKSON PKWY NW,113,Monroe Heights,G,33.79333,-84.47416,
AUTO THEFT,170580726,02/27/2017,784 MAGNOLIA WAY NW,102,Vine City,L,33.75804,-84.41379,
LARCENY-NON VEHICLE,170580753,02/27/2017,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,603,Old Fourth Ward,M,33.77067,-84.38023,
LARCENY-FROM VEHICLE,170580781,02/27/2017,800 PEACHTREE ST,505,Midtown,E,33.77655,-84.38478,
LARCENY-FROM VEHICLE,170580787,02/27/2017,1331 MARIETTA BLVD NW,203,Blandtown,D,33.79149,-84.42945,
LARCENY-FROM VEHICLE,170580823,02/27/2017,214 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75741,-84.38075,
AGG ASSAULT,170580857,02/27/2017,I-285 NB EXPY NW / MARTIN L KING JR DR NW,406,,I,33.75352,-84.49536,
LARCENY-NON VEHICLE,170580930,02/27/2017,165 COURTLAND ST NE @SHERATON ATLANTA,510,Downtown,M,33.75895,-84.3834,
BURGLARY-NONRES,170580974,02/27/2017,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70015,-84.45073,
LARCENY-FROM VEHICLE,170581047,02/27/2017,1259 LANIER BLVD NE,213,Morningside/Lenox Park,F,33.78919,-84.34955,
LARCENY-FROM VEHICLE,170581192,02/27/2017,767 TRABERT AVE NW,207,Berkeley Park,D,33.79539,-84.41347,
LARCENY-NON VEHICLE,170581253,02/27/2017,960 CONSTITUTION RD SE,308,Norwood Manor,Z,33.69307,-84.35805,
LARCENY-NON VEHICLE,170581259,02/27/2017,201 17TH ST NW,501,Atlantic Station,E,33.79128,-84.39452,
LARCENY-FROM VEHICLE,170581262,02/27/2017,33 11TH ST NE,503,Midtown,E,33.78316,-84.38673,
LARCENY-NON VEHICLE,170581274,02/27/2017,2563 MARTIN L KING JR DR NW,111,Harland Terrace,I,33.75367,-84.47167,
LARCENY-NON VEHICLE,170581293,02/27/2017,1449 RICHLAND RD SW,402,Oakland City,S,33.73107,-84.43519,
LARCENY-FROM VEHICLE,170581387,02/27/2017,31 BAKER ST NW,508,Downtown,M,33.76257,-84.38867,
LARCENY-FROM VEHICLE,170581402,02/27/2017,30 SPRING ST NW,507,Downtown,M,33.75585,-84.39367,
LARCENY-NON VEHICLE,170581573,02/27/2017,1504 NORTH AVE NW,107,Grove Park,J,33.76784,-84.43703,
LARCENY-NON VEHICLE,170581584,02/27/2017,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-NON VEHICLE,170581589,02/27/2017,50 UPPER ALABAMA ST SW,511,Downtown,M,33.75194,-84.38964,
AUTO THEFT,170581615,02/27/2017,2175 BICKNELL DR SW,310,Polar Rock,Z,33.69521,-84.39806,
BURGLARY-RESIDENCE,170581641,02/27/2017,404 GRIFFIN ST NW,103,English Avenue,L,33.7657,-84.4114,
LARCENY-NON VEHICLE,170581727,02/27/2017,3535 PEACHTREE RD NE @TARGET - PEACHTREE,210,Lenox,B,33.85182,-84.3595,
LARCENY-NON VEHICLE,170581740,02/27/2017,565 MAIN ST NE,211,Lindbergh/Morosgo,B,33.8224,-84.36851,
LARCENY-FROM VEHICLE,170581742,02/27/2017,1300 CASCADE FALLS DR SW,409,Cascade Heights,I,33.72025,-84.49254,
LARCENY-NON VEHICLE,170581749,02/27/2017,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85248,-84.36058,
LARCENY-FROM VEHICLE,170581750,02/27/2017,170 CARNEGIE WAY NW,508,Downtown,M,33.75876,-84.38942,
BURGLARY-RESIDENCE,170581782,02/27/2017,2418 1ST ST NW,110,Scotts Crossing,G,33.80426,-84.46737,
AGG ASSAULT,170581785,02/27/2017,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,170581794,02/27/2017,887 W MARIETTA ST NW,103,English Avenue,L,33.78117,-84.4148,
ROBBERY-PEDESTRIAN,170581818,02/27/2017,113 DOGWOOD DR NW,112,Collier Heights,I,33.78147,-84.4949,
LARCENY-NON VEHICLE,170581908,02/27/2017,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
AUTO THEFT,170581934,02/27/2017,1811 GODDARD ST SE,308,Thomasville Heights,Z,33.70299,-84.35547,
LARCENY-NON VEHICLE,170581971,02/27/2017,50 LOWER ALABAMA ST SW,511,Downtown,M,33.75223,-84.38978,
LARCENY-NON VEHICLE,170582027,02/27/2017,3872 ROSWELL RD NE,209,East Chastain Park,B,33.86019,-84.38066,
LARCENY-FROM VEHICLE,170582033,02/27/2017,600 PONCE DE LEON AVE NE,506,Midtown,E,33.77376,-84.36722,
BURGLARY-RESIDENCE,170582069,02/27/2017,364 ELVIRA ST SE,305,Chosewood Park,Y,33.71758,-84.37599,
LARCENY-NON VEHICLE,170582236,02/27/2017,1867 MYRTLE DR SW,410,Campbellton Road,R,33.70394,-84.4551,
LARCENY-FROM VEHICLE,170582248,02/27/2017,930 HOWELL MILL RD NW,501,Home Park,E,33.78008,-84.41055,
LARCENY-FROM VEHICLE,170582264,02/27/2017,710 PEACHTREE ST NE @HOWELL HOUSE,505,Midtown,E,33.77407,-84.38526,
AGG ASSAULT,170582322,02/27/2017,2348 SW CASCADE RD SW,409,Adams Park,R,33.72146,-84.46522,
LARCENY-FROM VEHICLE,170582374,02/27/2017,1845 PIEDMONT AVE NE ,212,Morningside/Lenox Park,F,33.80622,-84.36626,
LARCENY-FROM VEHICLE,170582441,02/27/2017,190  GEORGE ST SE,605,Grant Park,W,33.74811,-84.37585,
LARCENY-FROM VEHICLE,170582481,02/27/2017,655 SEMINOLE AVE NE ,602,Poncey-Highland,N,33.77243,-84.35075,
LARCENY-FROM VEHICLE,170582498,02/27/2017,3201 MARTIN L KING JR DR NW ,111,,I,33.75428,-84.49165,
LARCENY-FROM VEHICLE,170582533,02/27/2017,445 MARKHAM,508,Castleberry Hill,M,33.75294,-84.40176,
LARCENY-FROM VEHICLE,170582546,02/27/2017,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77914,-84.41116,
LARCENY-FROM VEHICLE,170582720,02/27/2017,1801 HOWELL MILL RD,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,170582723,02/27/2017,2115 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81274,-84.36659,
LARCENY-FROM VEHICLE,170582738,02/27/2017,1529 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.79625,-84.36946,
AUTO THEFT,170582762,02/27/2017,1085 HOWELL MILL RD NW,501,Home Park,E,33.78455,-84.41142,
LARCENY-NON VEHICLE,170582811,02/27/2017,1893 PENELOPE RD NW,108,Penelope Neighbors,J,33.7541,-84.44927,
LARCENY-FROM VEHICLE,170582826,02/27/2017,794 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77415,-84.36129,
AUTO THEFT,170582831,02/27/2017,415 ARMOUR DR NE,212,,F,33.81267,-84.37412,
LARCENY-FROM VEHICLE,170582863,02/27/2017,36 JOHN PORTMAN BLVD NE,509,Downtown,M,33.76074,-84.38561,
LARCENY-FROM VEHICLE,170582888,02/27/2017,135 ANDREW YOUNG INTERNA BLVD NW,508,Downtown,M,33.76002,-84.39178,
AUTO THEFT,170582891,02/27/2017,1117 METROPOLITAN PKWY SW,301,Adair Park,V,33.7244,-84.40814,
AUTO THEFT,170582895,02/27/2017,2053 TIGER FLOWERS DR NW,108,Dixie Hills,J,33.76038,-84.45451,
LARCENY-NON VEHICLE,170582980,02/27/2017,1677 DONALD LEE HOLLOWELL PKWY NW,110,Grove Park,J,33.77327,-84.44224,
LARCENY-NON VEHICLE,170392603,02/27/2017,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,170571212,02/26/2017,950 WEST PEACHTREE ST NW,503,Midtown,E,33.78014,-84.38747,
BURGLARY-RESIDENCE,170571365,02/26/2017,1488 WESSYNGTON RD NE,213,Morningside/Lenox Park,F,33.79519,-84.35691,
LARCENY-FROM VEHICLE,170571366,02/26/2017,2479 ABNER TER NW,110,Carver Hills,G,33.80063,-84.46635,
AGG ASSAULT,170571418,02/26/2017,3041 LANDRUM DR SW,409,Southwest,R,33.70649,-84.48782,
AGG ASSAULT,170571452,02/26/2017,320 LUCKIE ST NW,508,Downtown,M,33.7632,-84.39637,
LARCENY-NON VEHICLE,170571463,02/26/2017,3393 PEACHTREE RD NE @Multiple,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,170571520,02/26/2017,CENTRAL AVE SE / WALL ST SE,511,Downtown,M,33.75253,-84.38836,
LARCENY-FROM VEHICLE,170571558,02/26/2017,2975 HEADLAND DR SW,411,Greenbriar,R,33.69168,-84.4872,
LARCENY-NON VEHICLE,170571698,02/26/2017,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,
LARCENY-NON VEHICLE,170571716,02/26/2017,800 GLENWOOD AVE SE,605,Grant Park,W,33.74234,-84.36002,
AGG ASSAULT,170571757,02/26/2017,MAYNARD TER SE / GLENWOOD AVE SE,612,East Atlanta,W,33.74001,-84.33504,
LARCENY-NON VEHICLE,170571830,02/26/2017,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,
LARCENY-FROM VEHICLE,170571879,02/26/2017,1617 JACKSON TRACE CT NW,113,Lincoln Homes,G,33.79948,-84.47601,
LARCENY-NON VEHICLE,170571933,02/26/2017,3650 JONESBORO RD,311,South River Gardens,Z,33.6558,-84.36612,
LARCENY-NON VEHICLE,170571991,02/26/2017,1945 KIMBERLY RD SW,412,Ben Hill Terrace,P,33.70103,-84.52308,
LARCENY-NON VEHICLE,170571993,02/26/2017,3755 CARMIA DR SW,414,Princeton Lakes,P,33.6569,-84.51004,
LARCENY-FROM VEHICLE,170572083,02/26/2017,2915 COLLIER DR NW,112,Collier Heights,I,33.76459,-84.48236,
AUTO THEFT,170572160,02/26/2017,1168 WEST AVE SW,302,Pittsburgh,V,33.72314,-84.3961,
LARCENY-NON VEHICLE,170572227,02/26/2017,288 MILLEDGE AVE SE,605,Grant Park,W,33.73914,-84.37824,
LARCENY-FROM VEHICLE,170572375,02/26/2017,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568,
LARCENY-FROM VEHICLE,170572383,02/26/2017,269 BUCKHEAD AVE NE @BUCKHEAD BRANCH,206,Buckhead Village,B,33.83764,-84.37936,
AUTO THEFT,170572508,02/26/2017,113 GASLIGHT LN NW,108,Dixie Hills,J,33.75703,-84.46597,
AGG ASSAULT,170572514,02/26/2017,1860 MONROE DR NE,213,Piedmont Heights,F,33.8053,-84.37486,
AGG ASSAULT,170572528,02/26/2017,1817 HONEYSUCKLE LANE SW APT#114,410,Campbellton Road,R,33.70607,-84.45319,
RAPE,170572537,02/26/2017,3378 GREENBRIAR PKWY SW,413,,P,33.68387,-84.50204,
AUTO THEFT,170572599,02/26/2017,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,
LARCENY-FROM VEHICLE,170572600,02/26/2017,80 JESSE HILL JR DR SE,510,Downtown,M,33.75168,-84.38198,
LARCENY-FROM VEHICLE,170572653,02/26/2017,415 ARMOUR DR NE,212,,F,33.81267,-84.37412,
LARCENY-FROM VEHICLE,170572654,02/26/2017,2055 ALISON CT SW,410,Campbellton Road,R,33.7008,-84.45579,
AGG ASSAULT,170572679,02/26/2017,2136 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81307,-84.35152,
ROBBERY-PEDESTRIAN,170570089,02/26/2017,590 CASCADE AVE SW @KROGER - CASCADE,402,West End,T,33.73812,-84.43276,
LARCENY-NON VEHICLE,170570263,02/26/2017,736 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77477,-84.36379,
AGG ASSAULT,170570285,02/26/2017,1791 S GORDON ST SW,404,Westwood Terrace,I,33.73862,-84.44696,
LARCENY-FROM VEHICLE,170570503,02/26/2017,2125 SOUTHWOOD CV SW,412,Ben Hill Terrace,P,33.69518,-84.51856,
BURGLARY-RESIDENCE,170570706,02/26/2017,800 W MARIETTA ST NW,103,English Avenue,L,33.78022,-84.41514,
ROBBERY-PEDESTRIAN,170570765,02/26/2017,1034 WASHINGTON ST SW,304,Peoplestown,V,33.72677,-84.39088,
LARCENY-FROM VEHICLE,170570861,02/26/2017,2222 SWALLOW CIR SE,310,Swallow Circle/Baywood,Z,33.69361,-84.38627,
AUTO THEFT,170570863,02/26/2017,923 REDFORD DR SE,308,Rebel Valley Forest,Z,33.68862,-84.35934,
BURGLARY-NONRES,170570874,02/26/2017,3300 PEACHTREE RD NE,208,North Buckhead,B,33.84496,-84.36936,
BURGLARY-RESIDENCE,170570933,02/26/2017,2850 GLENWOOD AVE SE,611,East Lake,O,33.73943,-84.2941,
LARCENY-NON VEHICLE,170570993,02/26/2017,1634 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.70965,-84.37962,
AGG ASSAULT,170571048,02/26/2017,1960 MOREHOUSE DR NW,108,Dixie Hills,J,33.76154,-84.45193,
LARCENY-NON VEHICLE,170571061,02/26/2017,3232 PEACHTREE RD NW ,208,Cross Creek,C,33.81336,-84.42454,
AUTO THEFT,170571110,02/26/2017,140 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67287,-84.38483,
BURGLARY-RESIDENCE,170571139,02/26/2017,2322 ABNER PL NW,110,Carver Hills,G,33.80186,-84.46369,
LARCENY-NON VEHICLE,170571177,02/26/2017,180 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.73656,-84.39376,
LARCENY-NON VEHICLE,170560025,02/25/2017,850 JAMES JACKSON PKWY NW,113,Brookview Heights,G,33.77815,-84.47516,
LARCENY-FROM VEHICLE,170560351,02/25/2017,77 W. PACES FERRY RD,206,South Tuxedo Park,B,33.84064,-84.38193,
AGG ASSAULT,170560483,02/25/2017,3540 N CAMP CREEK PKWY SW,414,,P,33.67051,-84.50299,
AUTO THEFT,170560812,02/25/2017,186 NORTHSIDE DR SW ,507,Castleberry Hill,M,33.74952,-84.40352,
LARCENY-FROM VEHICLE,170560827,02/25/2017,242 PEACHTREE CENTER AVE NE,509,Downtown,M,33.76115,-84.38614,
BURGLARY-NONRES,170560846,02/25/2017,2350 DANIEL RD SW,413,,P,33.69017,-84.51622,
LARCENY-FROM VEHICLE,170560852,02/25/2017,135 ANDREW YOUNG INTERNA BLVD NW ,508,Downtown,M,33.75973,-84.39207,
BURGLARY-NONRES,170560889,02/25/2017,2636 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75277,-84.47429,
LARCENY-NON VEHICLE,170560901,02/25/2017,1161 NORTHMOOR CT NW,201,Westminster/Milmar,C,33.83471,-84.42509,
AUTO THEFT,170560904,02/25/2017,49 BOULEVARD SE,604,Sweet Auburn,M,33.75275,-84.37186,
AUTO THEFT,170560911,02/25/2017,580 FRASER ST SE,304,Summerhill,V,33.73843,-84.38605,
LARCENY-FROM VEHICLE,170560962,02/25/2017,262 PULLIAM ST SW,512,Downtown,M,33.74737,-84.39235,
LARCENY-FROM VEHICLE,170560971,02/25/2017,3451 ATLANTA INDUSTRIAL PKWY NW,114,Atlanta Industrial Park,G,33.795,-84.49432,
LARCENY-NON VEHICLE,170561079,02/25/2017,400 EDGEWOOD AVE NE,604,Sweet Auburn,M,33.75464,-84.37465,
LARCENY-FROM VEHICLE,170561129,02/25/2017,60 BELL ST NE,510,Downtown,M,33.75724,-84.37952,
LARCENY-NON VEHICLE,170561132,02/25/2017,979 HOWELL PL SW,401,West End,T,33.73939,-84.41986,
LARCENY-NON VEHICLE,170561139,02/25/2017,2815 LANDRUM DR SW,409,Laurens Valley,R,33.70652,-84.48075,
LARCENY-NON VEHICLE,170561145,02/25/2017,13 PLANTATION DR NE,210,Pine Hills,B,33.83623,-84.35688,
LARCENY-FROM VEHICLE,170561242,02/25/2017,1447 BENTEEN AVE SE,607,Benteen Park,W,33.7147,-84.36694,
LARCENY-FROM VEHICLE,170561246,02/25/2017,674 SPRING ST NW,505,Midtown,E,33.77308,-84.38924,
AUTO THEFT,170561310,02/25/2017,1734 DERRY AVE SW,404,Westview,T,33.74329,-84.4445,
BURGLARY-RESIDENCE,170561324,02/25/2017,1746 MARCEL AVE SW,408,,R,33.70823,-84.44513,
AUTO THEFT,170561325,02/25/2017,3550 CAMPBELLTON RD SW;,413,,P,33.68984,-84.50491,
LARCENY-FROM VEHICLE,170561329,02/25/2017,31 BAKER ST NW,508,Downtown,M,33.76257,-84.38867,
LARCENY-NON VEHICLE,170561331,02/25/2017,1554 PIEDMONT NE,213,Piedmont Heights,F,33.79668,-84.36951,
AGG ASSAULT,170561349,02/25/2017,2069 PERKERSON RD SW,306,Sylvan Hills,X,33.698,-84.41621,
LARCENY-FROM VEHICLE,170561352,02/25/2017,186 HURT ST NE,602,Inman Park,N,33.75902,-84.35489,
AUTO THEFT,170561386,02/25/2017,602 REED ST SE,304,Summerhill,V,33.73827,-84.38538,
LARCENY-FROM VEHICLE,170561416,02/25/2017,1328 PEACHTREE ST NE,502,Midtown,E,33.79087,-84.38612,
AUTO THEFT,170561446,02/25/2017,294 SAMPSON ST NE,603,Old Fourth Ward,M,33.76259,-84.36562,
LARCENY-FROM VEHICLE,170561608,02/25/2017,1578 PIEDMONT AVE NE,213,Piedmont Heights,F,33.79764,-84.36884,
BURGLARY-RESIDENCE,170561610,02/25/2017,1991 DELOWE DR SW,410,Campbellton Road,R,33.70103,-84.45746,
LARCENY-NON VEHICLE,170561619,02/25/2017,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,170561640,02/25/2017,44 PEACHTREE PL NE,503,Midtown,E,33.78085,-84.38537,
LARCENY-NON VEHICLE,170561687,02/25/2017,1001 PONCE DE LEON AVE NE @PUBLIX - PONCE,602,Poncey-Highland,N,33.7734,-84.35467,
BURGLARY-RESIDENCE,170561735,02/25/2017,620 PROVIDENCE PL SW,407,Mays,H,33.74326,-84.50523,
LARCENY-FROM VEHICLE,170561750,02/25/2017,415 ARMOUR DR NE,212,,F,33.81267,-84.37412,
LARCENY-NON VEHICLE,170561781,02/25/2017,2784 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.77927,-84.47996,
LARCENY-FROM VEHICLE,170561783,02/25/2017,2975 HEADLAND DR SW @BIG LOTS - HEADLAND,411,Greenbriar,R,33.69168,-84.4872,
LARCENY-NON VEHICLE,170561956,02/25/2017,565 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73969,-84.41828,
BURGLARY-RESIDENCE,170562047,02/25/2017,837 SKIPPER DR NW,112,Collier Heights,I,33.77812,-84.48978,
LARCENY-NON VEHICLE,170562054,02/25/2017,3650 JONESBORO RD SE,313,South River Gardens,Z,33.6558,-84.36612,
