UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-PEDESTRIAN,163651989,12/31/2016,OAKLAND DR SW/ CAMPBELLTON RD SW,403,Oakland City,S,33.71759,-84.42745,
LARCENY-FROM VEHICLE,163652025,12/30/2016,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.8426,-84.37329,
LARCENY-NON VEHICLE,163652096,12/30/2016,3535 PEACHTREE RD NE,210,Lenox,B,33.85182,-84.3595,
LARCENY-NON VEHICLE,163652098,12/30/2016,3400 AROUND LENOX DRIVE NE SUITE 204,210,Lenox,B,33.84743,-84.3654,
AUTO THEFT,163652124,12/30/2016,3024 DONALD LEE HOLLOWELL PKWY NW,112,Collier Heights,I,33.78267,-84.48733,
LARCENY-FROM VEHICLE,163652133,12/30/2016,75 MARTIN LUTHER KING JR BLVD,511,Downtown,M,33.75258,-84.38992,
LARCENY-NON VEHICLE,163652147,12/30/2016,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.84676,-84.36212,
LARCENY-NON VEHICLE,163652156,12/30/2016,773 PEARCE ST SW,301,Adair Park,V,33.72944,-84.41296,
LARCENY-NON VEHICLE,163652171,12/30/2016,3334 PEACHTREE RD NE,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-NON VEHICLE,163652328,12/30/2016,807 CASCADE AVE SW,404,Cascade Avenue/Road,S,33.73323,-84.43795,
ROBBERY-PEDESTRIAN,163652331,12/30/2016,48 BROAD ST SW,511,Downtown,M,33.75283,-84.39232,
AGG ASSAULT,163652337,12/30/2016,1083 WESTVIEW DR SW,104,Ashview Heights,T,33.74725,-84.42314,
ROBBERY-PEDESTRIAN,163652385,12/30/2016,496 PLASTERS AVE NE,212,,F,33.81181,-84.37233,
AUTO THEFT,163652437,12/30/2016,2900 PEACHTREE RD NW @CALL BOX 1,206,Peachtree Heights West,B,33.83399,-84.3841,
LARCENY-FROM VEHICLE,163652447,12/30/2016,779 JUNIPER ST NE,505,Midtown,E,33.77589,-84.38265,
AGG ASSAULT,163652497,12/30/2016,400 W PEACHTREE ST NW,504,Downtown,M,33.76614,-84.3876,
LARCENY-FROM VEHICLE,163652522,12/30/2016,563 MEMORIAL DR,605,Grant Park,W,33.7464,-84.36911,
LARCENY-FROM VEHICLE,163652542,12/30/2016,718 W ASHLAND AVE NE,602,Inman Park,N,33.75815,-84.36368,
BURGLARY-RESIDENCE,163652578,12/30/2016,836 MITCHELL ST SW,101,Atlanta University Center,T,33.75327,-84.41491,
LARCENY-FROM VEHICLE,163652593,12/30/2016,110 FITZGERALD ST SE,604,Sweet Auburn,M,33.75285,-84.37265,
LARCENY-FROM VEHICLE,163652621,12/30/2016,929 CHARLES ALLEN DR,502,Midtown,E,33.78174,-84.36869,
AUTO THEFT,163652642,12/30/2016,1345 BOYD AVE NW,203,Blandtown,D,33.79125,-84.41906,
LARCENY-FROM VEHICLE,163652659,12/30/2016,4475 ROSWELL RD NE,209,North Buckhead,B,33.87728,-84.37949,
ROBBERY-PEDESTRIAN,163652671,12/30/2016,577 WIMBLEDON RD NE,212,Piedmont Heights,F,33.80647,-84.36826,
LARCENY-FROM VEHICLE,163652687,12/30/2016,240 NORTH HIGHLAND AVE NE ,602,Inman Park,N,33.76182,-84.3601,
AGG ASSAULT,163652690,12/30/2016,2479 ABNER TER NW @FLIPPER TEMPLE,110,Scotts Crossing,G,33.80106,-84.46803,
LARCENY-FROM VEHICLE,163652706,12/30/2016,1652 BREWER BLVD SW,306,Sylvan Hills,X,33.70969,-84.41701,
BURGLARY-RESIDENCE,163652758,12/30/2016,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863,
LARCENY-FROM VEHICLE,163652763,12/30/2016,502 PRYOR ST SW,303,Mechanicsville,V,33.74114,-84.39442,
LARCENY-NON VEHICLE,163651137,12/30/2016,556 NORTHSIDE DR SW,303,Pittsburgh,V,33.74007,-84.40778,
BURGLARY-RESIDENCE,163651173,12/30/2016,781 MAGNOLIA WAY NW,102,Vine City,L,33.75822,-84.41374,
LARCENY-NON VEHICLE,163651255,12/30/2016,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84641,-84.36838,
LARCENY-NON VEHICLE,163651269,12/30/2016,1371 CAMPBELLTON RD SW,403,Venetian Hills,S,33.71506,-84.43322,
AUTO THEFT,163651283,12/30/2016,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82296,-84.36346,
LARCENY-NON VEHICLE,163651401,12/30/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
ROBBERY-PEDESTRIAN,163651468,12/30/2016,245 OAK DR SE,312,Glenrose Heights,Z,33.66828,-84.3854,
BURGLARY-NONRES,163651474,12/30/2016,2519 CHANTILLY DR NE,212,Lindridge/Martin Manor,F,33.82369,-84.35056,
LARCENY-FROM VEHICLE,163651502,12/30/2016,112 COURTLAND ST,510,Downtown,M,33.75756,-84.38434,
BURGLARY-RESIDENCE,163651516,12/30/2016,200 MATHEWSON PL SW,104,Mozley Park,K,33.74978,-84.43586,
LARCENY-FROM VEHICLE,163651529,12/30/2016,252 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.76144,-84.36794,
LARCENY-FROM VEHICLE,163651544,12/30/2016,1280 W PEACHTREE ST NW,502,Midtown,E,33.78971,-84.38812,
AUTO THEFT,163651563,12/30/2016,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742,
LARCENY-FROM VEHICLE,163651566,12/30/2016,1225 CAPITOL AVE SW,305,South Atlanta,Y,33.72112,-84.38853,
BURGLARY-RESIDENCE,163651574,12/30/2016,3041 LANDRUM DR SW,409,Southwest,R,33.70915,-84.48832,
LARCENY-NON VEHICLE,163651584,12/30/2016,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-NON VEHICLE,163651640,12/30/2016,1371 MARKET ST,501,Atlantic Station,E,33.7921,-84.39466,
LARCENY-NON VEHICLE,163651662,12/30/2016,3500 PEACHTREE RD NE,208,North Buckhead,B,33.85248,-84.36058,
LARCENY-NON VEHICLE,163651668,12/30/2016,3393 PEACHTREE RD,210,Lenox,B,33.84676,-84.36212,
LARCENY-FROM VEHICLE,163651669,12/30/2016,1155 JUNIPER ST NE,503,Midtown,E,33.78584,-84.38179,
ROBBERY-PEDESTRIAN,163651872,12/30/2016,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67386,-84.37063,
LARCENY-FROM VEHICLE,163651932,12/30/2016,1179 MECASLIN ST NW,501,Home Park,E,33.78705,-84.39959,
LARCENY-FROM VEHICLE,163650155,12/30/2016,1340 SPRING ST NW,502,Midtown,E,33.79086,-84.38947,
LARCENY-NON VEHICLE,163650156,12/30/2016,200 EDGEWOOD AVE NE,510,Downtown,M,33.75451,-84.38094,
BURGLARY-NONRES,163650280,12/30/2016,3071 CAMPBELLTON RD SW,409,Southwest,R,33.69466,-84.48869,
AGG ASSAULT,163650356,12/30/2016,1110 ATLANTIC DR NW,501,Home Park,E,33.78504,-84.39794,
LARCENY-FROM VEHICLE,163650368,12/30/2016,492 LARKIN ST SW,507,Castleberry Hill,M,33.7476,-84.4037,
LARCENY-NON VEHICLE,163650509,12/30/2016,1218 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76324,-84.42748,
LARCENY-FROM VEHICLE,163650695,12/30/2016,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849,
LARCENY-FROM VEHICLE,163650714,12/30/2016,464 COOPER ST SW,303,Mechanicsville,V,33.74217,-84.39686,
AUTO THEFT,163650810,12/30/2016,375 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.7613,-84.37533,
BURGLARY-NONRES,163650820,12/30/2016,2797 CAMPBELLTON RD SW,409,Southwest,R,33.70046,-84.48046,
AUTO THEFT,163650856,12/30/2016,584 GLEN IRIS NE,603,Old Fourth Ward,M,33.77045,-84.36781,
LARCENY-NON VEHICLE,163650864,12/30/2016,691 UNIVERSITY AVE SW,301,Adair Park,V,33.72228,-84.41016,
AUTO THEFT,163650987,12/30/2016,727 ELKMONT DR NE,601,Virginia Highland,F,33.78552,-84.36371,
LARCENY-NON VEHICLE,163651056,12/30/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
AUTO THEFT,163651061,12/30/2016,1965 JONESBORO RD SE,307,Lakewood Heights,Y,33.70174,-84.37456,
BURGLARY-NONRES,163651067,12/30/2016,1919 PIEDMONT RD NE,212,Morningside/Lenox Park,F,33.81066,-84.36598,
LARCENY-NON VEHICLE,163651079,12/30/2016,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644,
LARCENY-FROM VEHICLE,163651116,12/30/2016,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
LARCENY-FROM VEHICLE,163640649,12/30/2016,1155 JUNIPER STREET,503,Midtown,E,33.78584,-84.38179,
BURGLARY-RESIDENCE,163642170,12/30/2016,388 LEGACY DR SW,104,Harris Chiles,T,33.74526,-84.41915,
BURGLARY-NONRES,163642217,12/29/2016,2519 CHANTILLY DR NE,212,Lindridge/Martin Manor,F,33.82369,-84.35056,
LARCENY-FROM VEHICLE,163642229,12/29/2016,326 NELSON ST SW,507,Castleberry Hill,M,33.75149,-84.3984,
LARCENY-FROM VEHICLE,163642261,12/29/2016,2325 MARIETTA BLVD,201,Brandon,C,33.82745,-84.42013,
LARCENY-NON VEHICLE,163642274,12/29/2016,199 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68142,-84.39555,
BURGLARY-RESIDENCE,163642322,12/29/2016,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
BURGLARY-NONRES,163642402,12/29/2016,2519 CHANTILLY DR NE,212,Lindridge/Martin Manor,F,33.82369,-84.35056,
BURGLARY-RESIDENCE,163642404,12/29/2016,2500 CENTER ST NW,113,Carey Park,G,33.78999,-84.47156,
LARCENY-NON VEHICLE,163642455,12/29/2016,2000 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.81114,-84.35753,
BURGLARY-RESIDENCE,163642460,12/29/2016,1028 SANDERS AVE SE,606,Ormewood Park,W,33.74218,-84.35388,
LARCENY-FROM VEHICLE,163642464,12/29/2016,1119 ISA DR SE,308,Thomasville Heights,Z,33.70023,-84.35223,
LARCENY-FROM VEHICLE,163642508,12/29/2016,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.77795,-84.40849,
LARCENY-FROM VEHICLE,163642577,12/29/2016,1001 NORTHSIDE DR NW ,501,Home Park,E,33.78155,-84.40748,
LARCENY-FROM VEHICLE,163642603,12/29/2016,1735 DEFOOR PL NW,204,Underwood Hills,D,33.80224,-84.42161,
LARCENY-NON VEHICLE,163642618,12/29/2016,1801 HOWELL MILL RD,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,163642629,12/29/2016,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119,
LARCENY-FROM VEHICLE,163642631,12/29/2016,2290 PEACHTREE RD NW,205,,C,33.81671,-84.39005,
BURGLARY-RESIDENCE,163642646,12/29/2016,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76462,-84.36561,
LARCENY-NON VEHICLE,163642649,12/29/2016,620 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.77168,-84.36779,
LARCENY-NON VEHICLE,163642652,12/29/2016,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.74569,-84.41786,
LARCENY-FROM VEHICLE,163642660,12/29/2016,505 WHITEHALL ST SW,303,Mechanicsville,V,33.74351,-84.40437,
AUTO THEFT,163642672,12/29/2016,722 WILLOUGHBY WAY NE,603,Old Fourth Ward,M,33.76403,-84.36352,
AUTO THEFT,163642679,12/29/2016,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-FROM VEHICLE,163642769,12/29/2016,2095 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.69753,-84.4084,
LARCENY-FROM VEHICLE,163642780,12/29/2016,246 ELIZABETH ST NE,602,Inman Park,N,33.76103,-84.35832,
AGG ASSAULT,163648099,12/29/2016,6000 S TERMINAL PKWY,704,,,33.63751,-84.44824,
AUTO THEFT,163640670,12/29/2016,490 MARIETTA ST NW,507,Downtown,M,33.76627,-84.39761,
LARCENY-NON VEHICLE,163640782,12/29/2016,1670 HOSEA L WILLIAMS DR NE ,609,Kirkwood,O,33.75364,-84.33275,
AUTO THEFT,163640795,12/29/2016,349 DECATUR ST SE,604,Sweet Auburn,M,33.74993,-84.37706,
LARCENY-FROM VEHICLE,163640806,12/29/2016,485 LINDBERGH PL NE,211,Lindbergh/Morosgo,B,33.81987,-84.37116,
AUTO THEFT,163640822,12/29/2016,1093 WEST AVE SW,302,Pittsburgh,V,33.72494,-84.39593,
BURGLARY-NONRES,163640847,12/29/2016,668 CHARLOTTE PL NW,107,Grove Park,J,33.77315,-84.45116,
LARCENY-FROM VEHICLE,163640875,12/29/2016,440 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70606,-84.35892,
LARCENY-FROM VEHICLE,163640883,12/29/2016,1160 MOORES MILL RD NW,201,Brandon,C,33.83133,-84.42498,
LARCENY-FROM VEHICLE,163640957,12/29/2016,17 BAKER  ST NW,508,Downtown,M,33.76215,-84.38675,
ROBBERY-PEDESTRIAN,163640971,12/29/2016,1300 SPRING ST NW,502,Midtown,E,33.79026,-84.38941,
LARCENY-NON VEHICLE,163641002,12/29/2016,265 PEACHTREE CENTER AVE NE @Multiple,509,Downtown,M,33.76158,-84.38496,
LARCENY-NON VEHICLE,163641046,12/29/2016,1545 S GORDON ST SW,404,Westview,T,33.74002,-84.43829,
LARCENY-NON VEHICLE,163641099,12/29/2016,2409 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82093,-84.36741,
LARCENY-FROM VEHICLE,163641174,12/29/2016,2809 PEACHTREE RD NE,206,Garden Hills,B,33.83157,-84.38498,
BURGLARY-NONRES,163641187,12/29/2016,2365 PEACHTREE RD NE,211,Peachtree Hills,B,33.82016,-84.38824,
BURGLARY-NONRES,163641253,12/29/2016,2519 CHANTILLY DR NE,212,Lindridge/Martin Manor,F,33.82369,-84.35056,
AGG ASSAULT,163641323,12/29/2016,3390 OLD FAIRBURN RD SW,414,Huntington,P,33.66256,-84.52848,
LARCENY-NON VEHICLE,163641401,12/29/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-NON VEHICLE,163641405,12/29/2016,2220 CAMPBELLTON RD SW,410,Campbellton Road,R,33.7044,-84.46144,
BURGLARY-RESIDENCE,163641455,12/29/2016,816 MAGNOLIA WAY NW,102,Vine City,L,33.75805,-84.41421,
LARCENY-FROM VEHICLE,163641498,12/29/2016,1220 MECASLIN ST NW,501,Home Park,E,33.78791,-84.39991,
AUTO THEFT,163641558,12/29/2016,1922 S GORDON ST SW,404,Westview,T,33.73415,-84.44718,
LARCENY-FROM VEHICLE,163641650,12/29/2016,2980 PIEDMONT RD NE,206,Garden Hills,B,33.83597,-84.36893,
LARCENY-NON VEHICLE,163641817,12/29/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,163641882,12/29/2016,3344 PEACHTREE RD NE,208,North Buckhead,B,33.84652,-84.36834,
LARCENY-FROM VEHICLE,163642082,12/29/2016,250 10TH ST NE,502,Midtown,E,33.78218,-84.37867,
LARCENY-NON VEHICLE,163642140,12/29/2016,2525 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.824,-84.36521,
LARCENY-FROM VEHICLE,163640111,12/29/2016,345 N HIGHLAND AVE NE,602,Inman Park,N,33.76341,-84.35647,
AUTO THEFT,163640134,12/29/2016,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594,
LARCENY-FROM VEHICLE,163640241,12/29/2016,786 JUNIPER ST NE,505,Midtown,E,33.77587,-84.38308,
BURGLARY-NONRES,163640369,12/29/2016,3335 MARTIN L KING JR DR NW,111,Adamsville,H,33.7551,-84.49652,
LARCENY-FROM VEHICLE,163640376,12/29/2016,60 BELL STREET,510,Downtown,M,33.75553,-84.37942,
AUTO THEFT,163640413,12/29/2016,2759 MORNINGTON DR NW,205,Castlewood,C,33.83229,-84.41451,
BURGLARY-RESIDENCE,163640428,12/29/2016,1572 HARDEE ST NE,609,Edgewood,O,33.75546,-84.33644,
LARCENY-FROM VEHICLE,163640429,12/29/2016,906 RALPH D ABERNATHY BLVD SW,401,West End,T,33.73794,-84.41735,
BURGLARY-NONRES,163640535,12/29/2016,223 12TH ST NE,503,Midtown,E,33.78407,-84.38001,
LARCENY-FROM VEHICLE,163640540,12/29/2016,490 GLENN ST SW,303,Mechanicsville,V,33.73805,-84.40262,
BURGLARY-NONRES,163640618,12/29/2016,1424 N HIGHLAND AVE NE,213,Morningside/Lenox Park,F,33.79351,-84.35148,
LARCENY-FROM VEHICLE,163632778,12/29/2016,197 MATHEWSON PL SW,104,Mozley Park,K,33.74981,-84.43641,
AGG ASSAULT,163632819,12/29/2016,1167 JOSEPH E BOONE BLVD NW,106,Bankhead,K,33.76378,-84.42565,
LARCENY-NON VEHICLE,163638049,12/28/2016,12700 SPINE RD,703,,,33.63839,-84.42517,
BURGLARY-NONRES,163630635,12/28/2016,847 FOX ST NW,103,English Avenue,L,33.77227,-84.41509,
LARCENY-FROM VEHICLE,163630638,12/28/2016,3537 MARTIN L KING JR DR NW,111,Adamsville,H,33.75819,-84.50327,
