UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
LARCENY-NON VEHICLE,170311262,01/31/2017,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,170311289,01/31/2017,3580 CAMPBELLTON RD SW,407,,P,33.6899,-84.50584,
LARCENY-FROM VEHICLE,170311300,01/31/2017,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,
BURGLARY-NONRES,170311313,01/31/2017,1140 CRESCENT AVE NE,503,Midtown,E,33.78588,-84.38448,
LARCENY-NON VEHICLE,170311322,01/31/2017,565 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73969,-84.41828,
LARCENY-NON VEHICLE,170311329,01/31/2017,1074 PONCE DE LEON AVE NE,601,Atkins Park,F,33.77404,-84.35226,
BURGLARY-RESIDENCE,170311347,01/31/2017,520 MUSE ST SW,401,Westview,T,33.74095,-84.43335,
ROBBERY-PEDESTRIAN,170311370,01/31/2017,99 26TH ST NW,207,Brookwood,E,33.80211,-84.39603,
LARCENY-FROM VEHICLE,170311567,01/31/2017,1075 CHATTAHOOCHEE AVE NW,204,Underwood Hills,D,33.80174,-84.42312,
LARCENY-FROM VEHICLE,170311590,01/31/2017,333 NELSON ST SW,507,Castleberry Hill,M,33.75158,-84.39883,
LARCENY-FROM VEHICLE,170311649,01/31/2017,880 GLENWOOD AVE SE,606,Grant Park,W,33.73991,-84.35917,
LARCENY-NON VEHICLE,170311767,01/31/2017,2650 WASHINGTON ST NW,112,Collier Heights,I,33.77341,-84.47436,
LARCENY-NON VEHICLE,170311789,01/31/2017,1455 MORELAND AVE SE,607,Custer/McDonough/Guice,W,33.71478,-84.35014,
BURGLARY-RESIDENCE,170311847,01/31/2017,1326 EASON ST NW,105,Hunter Hills,K,33.75794,-84.43081,
LARCENY-NON VEHICLE,170311854,01/31/2017,200 WHITEFOORD AVE NE,609,Edgewood,O,33.75903,-84.34217,
LARCENY-FROM VEHICLE,170311864,01/31/2017,1155 JUNIPER ST NE,503,Midtown,E,33.78584,-84.38179,
LARCENY-FROM VEHICLE,170311866,01/31/2017,2430 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.82149,-84.35161,
LARCENY-NON VEHICLE,170311908,01/31/2017,1321 LANIER BLVD NE,213,Morningside/Lenox Park,F,33.79098,-84.35032,
LARCENY-FROM VEHICLE,170311939,01/31/2017,304 OAKLAND AVE SE,605,Grant Park,W,33.74638,-84.37466,
BURGLARY-RESIDENCE,170312053,01/31/2017,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623,
LARCENY-FROM VEHICLE,170312074,01/31/2017,670 LAVERNE DR NW,112,Collier Heights,I,33.77323,-84.48825,
LARCENY-FROM VEHICLE,170312123,01/31/2017,2 PEACHTREE ST,511,Downtown,M,33.75369,-84.39043,
AUTO THEFT,170312143,01/31/2017,850 OAK ST SW @WEST END MALL,401,West End,T,33.74053,-84.41671,
ROBBERY-COMMERCIAL,170312341,01/31/2017,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,170312382,01/31/2017,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425,
LARCENY-NON VEHICLE,170312559,01/31/2017,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,
AGG ASSAULT,170312600,01/31/2017,3871 REDWINE RD SW,414,Princeton Lakes,P,33.66005,-84.50994,
AUTO THEFT,170312807,01/31/2017,3136 MARTIN L KING JR DR SW,406,,I,33.75107,-84.48903,
LARCENY-FROM VEHICLE,170313000,01/31/2017,602 N HIGHLAND AVE NE @MANUELS,602,Poncey-Highland,N,33.77082,-84.35274,
ROBBERY-PEDESTRIAN,170313003,01/31/2017,1362 LANSING ST SE,305,South Atlanta,Y,33.71759,-84.38538,
LARCENY-FROM VEHICLE,170313009,01/31/2017,159 BOWEN CIR SW,305,High Point,Y,33.71738,-84.39691,
LARCENY-NON VEHICLE,170313016,01/31/2017,2459 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82274,-84.36692,
AUTO THEFT,170313044,01/31/2017,17 ANNISTON AVE SE,610,Kirkwood,O,33.75297,-84.33779,
BURGLARY-RESIDENCE,170313065,01/31/2017,566 UNIVERSITY AVE SW,302,Pittsburgh,V,33.72207,-84.40617,
LARCENY-FROM VEHICLE,170313080,01/31/2017,500 10TH ST NE @BELTLINE BUSINESS,502,,E,33.78223,-84.36922,
LARCENY-FROM VEHICLE,170313233,01/31/2017,1200 FOSTER ST NW,203,Blandtown,D,33.78651,-84.41448,
BURGLARY-NONRES,170313243,01/31/2017,3300 PEACHTREE RD NE,208,North Buckhead,B,33.84496,-84.36936,
LARCENY-FROM VEHICLE,170313273,01/31/2017,712 MAIDEN LN NE,601,Virginia Highland,F,33.77467,-84.36327,
LARCENY-FROM VEHICLE,170313287,01/31/2017,1544 PIEDMONT AVE NE @PUBLIX - ANSLEY,213,Piedmont Heights,F,33.79789,-84.37101,
LARCENY-FROM VEHICLE,170313306,01/31/2017,2166 PEACHTREE RD NW @HOUSTONS,207,,C,33.81349,-84.39275,
LARCENY-FROM VEHICLE,170313310,01/31/2017,1123 PEACHTREE WALK NE,503,Midtown,E,33.7854,-84.38604,
ROBBERY-PEDESTRIAN,170313320,01/31/2017,647 LAWTON ST SW;,402,West End,T,33.73744,-84.42378,
AGG ASSAULT,170313364,01/31/2017,1115 DONALD LEE HOLLOWELL PKWY NW,106,Bankhead,K,33.77303,-84.42383,
LARCENY-FROM VEHICLE,170313419,01/31/2017,49 BOULEVARD SE,604,Sweet Auburn,M,33.75253,-84.3721,
ROBBERY-PEDESTRIAN,170313503,01/31/2017,20  JACKSON ST NE,604,Sweet Auburn,M,33.75388,-84.37423,
LARCENY-FROM VEHICLE,170300006,01/30/2017,878 PEACHTREE ST.,505,Midtown,E,33.77901,-84.38403,
LARCENY-NON VEHICLE,170300011,01/30/2017,330 MARIETTA ST NW,507,Downtown,M,33.76212,-84.39669,
LARCENY-NON VEHICLE,170300269,01/30/2017,3030 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68066,-84.49371,
AUTO THEFT,170300291,01/30/2017,145 HOLIDAY AVE NE,606,Reynoldstown,N,33.75771,-84.35088,
LARCENY-FROM VEHICLE,170300356,01/30/2017,220 RENAISSANCE PKWY NE,603,Old Fourth Ward,M,33.76924,-84.37961,
LARCENY-FROM VEHICLE,170300359,01/30/2017,690 PIEDMONT AVE NE,505,Midtown,E,33.77332,-84.38212,
ROBBERY-COMMERCIAL,170300451,01/30/2017,3263 DONALD LEE HOLLOWELL PKWY NW,114,English Park,G,33.78784,-84.49384,
ROBBERY-COMMERCIAL,170300492,01/30/2017,1958 PIEDMONT RD NE,212,Piedmont Heights,F,33.81096,-84.36706,
BURGLARY-NONRES,170300498,01/30/2017,1498 NASH RD NW,114,English Park,G,33.79621,-84.4894,
ROBBERY-COMMERCIAL,170300513,01/30/2017,2350 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.8195,-84.35199,
LARCENY-NON VEHICLE,170300579,01/30/2017,1001 MARTIN L KING JR DR NW,105,Washington Park,K,33.75494,-84.42054,
AUTO THEFT,170300628,01/30/2017,3200 STONE RD SW,411,Greenbriar,R,33.6697,-84.49403,
LARCENY-NON VEHICLE,170300669,01/30/2017,1050 LINAM STREET SE,304,Peoplestown,V,33.72581,-84.38589,
AUTO THEFT,170300726,01/30/2017,600 JEWEL DR SW,412,Midwest Cascade,Q,33.724,-84.54958,
LARCENY-NON VEHICLE,170300742,01/30/2017,2821 ALSTON DR SE,611,East Lake,O,33.74457,-84.29463,
LARCENY-NON VEHICLE,170300766,01/30/2017,1240 W PEACHTREE ST NW,502,Midtown,E,33.78874,-84.38857,
AUTO THEFT,170300774,01/30/2017,2135 RHINEHILL RD SE,310,Lakewood,Z,33.69588,-84.37924,
AUTO THEFT,170300792,01/30/2017,3146 LOVELL DR SW,409,Southwest,R,33.70509,-84.49176,
LARCENY-NON VEHICLE,170300819,01/30/2017,2209 BEECHER CIR SW,406,Beecher Hills,I,33.73439,-84.46123,
BURGLARY-NONRES,170300824,01/30/2017,2642 METROPOLITAN PKWY SW,309,Perkerson,X,33.6824,-84.40766,
LARCENY-FROM VEHICLE,170300825,01/30/2017,573 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.75409,-84.36863,
LARCENY-FROM VEHICLE,170300878,01/30/2017,3450 FORREST PARK RD SE,313,South River Gardens,Z,33.66061,-84.35549,
BURGLARY-RESIDENCE,170300891,01/30/2017,895 ADAIR AVE NE,601,Virginia Highland,F,33.77979,-84.35803,
LARCENY-NON VEHICLE,170300901,01/30/2017,2193 PEACHTREE RD NE,211,,E,33.81411,-84.39144,
BURGLARY-RESIDENCE,170300902,01/30/2017,2451 SANTA ROSA DR SW,413,Arlington Estates,P,33.68864,-84.54038,
LARCENY-NON VEHICLE,170300976,01/30/2017,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-FROM VEHICLE,170301006,01/30/2017,2400 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70382,-84.46637,
LARCENY-NON VEHICLE,170301019,01/30/2017,401 BILL KENNEDY WAY SE,606,Grant Park,W,33.74243,-84.3588,
LARCENY-FROM VEHICLE,170301063,01/30/2017,3180 ESPLANADE CIR SW,409,Southwest,R,33.70526,-84.49316,
LARCENY-NON VEHICLE,170301115,01/30/2017,1374 MURPHY AVE SW,301,Capitol View,X,33.71744,-84.42389,
LARCENY-FROM VEHICLE,170301134,01/30/2017,274 LANGHORN ST SW,104,West End,T,33.7472,-84.42943,
LARCENY-NON VEHICLE,170301155,01/30/2017,705 PHIPPS BLVD NE,208,North Buckhead,B,33.85446,-84.3615,
AUTO THEFT,170301254,01/30/2017,208 REINHARDT ST SE,606,Cabbagetown,N,33.74891,-84.3685,
LARCENY-FROM VEHICLE,170301285,01/30/2017,3680 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.65445,-84.5082,
LARCENY-FROM VEHICLE,170301293,01/30/2017,106 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.7572,-84.38452,
LARCENY-FROM VEHICLE,170301339,01/30/2017,3560 PIEDMONT RD NE,208,Buckhead Forest,B,33.8512,-84.37949,
LARCENY-FROM VEHICLE,170301417,01/30/2017,3333 PIEDMONT RD NE,208,North Buckhead,B,33.84592,-84.37234,
AUTO THEFT,170301427,01/30/2017,183 MOUNT ZION RD SW,311,Glenrose Heights,Z,33.67299,-84.39626,
AUTO THEFT,170301439,01/30/2017,2539 GODFREY DR NW,112,Collier Heights,I,33.75968,-84.47089,
LARCENY-FROM VEHICLE,170301451,01/30/2017,1117 LEE ST SW,402,Oakland City,S,33.72459,-84.42107,
LARCENY-FROM VEHICLE,170301463,01/30/2017,77 12TH ST NE,503,Midtown,E,33.78424,-84.38496,
LARCENY-FROM VEHICLE,170301500,01/30/2017,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017,
LARCENY-FROM VEHICLE,170301504,01/30/2017,405 FAIRBURN RD SW,407,Wildwood (NPU-H),H,33.74367,-84.50959,
LARCENY-NON VEHICLE,170301538,01/30/2017,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
LARCENY-NON VEHICLE,170301540,01/30/2017,525 LANGHORN ST SW,401,Westview,T,33.74086,-84.43279,
AGG ASSAULT,170301577,01/30/2017,905 JAMES JACKSON PKWY NW,113,Carey Park,G,33.7801,-84.47626,
LARCENY-NON VEHICLE,170301594,01/30/2017,1160 MOORES MILL RD NW,201,Brandon,C,33.83133,-84.42498,
LARCENY-FROM VEHICLE,170301601,01/30/2017,1112 PIEDMONT AVE NE,503,Midtown,E,33.78497,-84.37867,
LARCENY-NON VEHICLE,170301614,01/30/2017,556 FEDERAL TER SE,305,Chosewood Park,Y,33.71526,-84.36971,
BURGLARY-RESIDENCE,170301625,01/30/2017,34 MOURY AVE SE,305,South Atlanta,Y,33.71276,-84.38454,
LARCENY-NON VEHICLE,170301667,01/30/2017,3755 CARMIA DR SW,413,Princeton Lakes,P,33.65571,-84.50908,
LARCENY-NON VEHICLE,170301710,01/30/2017,1700 MONROE DR NE @KROGER - MONROE,213,Piedmont Heights,F,33.80052,-84.37307,
AUTO THEFT,170301715,01/30/2017,2451 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77726,-84.46472,
AUTO THEFT,170301744,01/30/2017,510 REUNION CT SW,412,Midwest Cascade,Q,33.72406,-84.52949,
LARCENY-NON VEHICLE,170301758,01/30/2017,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208,
ROBBERY-PEDESTRIAN,170301833,01/30/2017,2500 CENTER ST NW @ETHERIDGE COURT APT,113,Carey Park,G,33.79088,-84.4723,
BURGLARY-RESIDENCE,170301988,01/30/2017,303 SUMMIT NORTH DR NE,211,Lindbergh/Morosgo,B,33.82782,-84.36245,
LARCENY-FROM VEHICLE,170301997,01/30/2017,28 LAFAYETTE DR NE ,502,Ansley Park,E,33.78998,-84.38086,
BURGLARY-RESIDENCE,170302123,01/30/2017,52 DOROTHY ST SE,305,South Atlanta,Y,33.71032,-84.38416,
LARCENY-NON VEHICLE,170302169,01/30/2017,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,
RAPE,170302255,01/30/2017,3298 KINGSTON RD NW,112,Collier Heights,I,33.77954,-84.49433,
LARCENY-NON VEHICLE,170302259,01/30/2017,2539 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82403,-84.36328,
LARCENY-FROM VEHICLE,170302304,01/30/2017,2323 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.81828,-84.36696,
LARCENY-NON VEHICLE,170302392,01/30/2017,2615 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7762,-84.47236,
LARCENY-NON VEHICLE,170302420,01/30/2017,175 MURRAY HILL AVE NE,610,Kirkwood,O,33.75745,-84.31579,
LARCENY-NON VEHICLE,170302573,01/30/2017,212 LITTLE ST SE,304,Summerhill,V,33.73331,-84.38083,
ROBBERY-PEDESTRIAN,170302628,01/30/2017,1550 BOULEVARD LORRAINE SW,409,Adams Park,R,33.71364,-84.45909,
ROBBERY-PEDESTRIAN,170302666,01/30/2017,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.82678,-84.36699,
LARCENY-FROM VEHICLE,170302669,01/30/2017,767 GREENWOOD AVE NE,601,Virginia Highland,F,33.77631,-84.36216,
BURGLARY-RESIDENCE,170302683,01/30/2017,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968,
AGG ASSAULT,170302703,01/30/2017,415 FAIRBURN RD SW,407,Fairburn Mays,H,33.74349,-84.50968,
LARCENY-FROM VEHICLE,170302845,01/30/2017,684 ANTONE ST NW,207,Berkeley Park,D,33.79826,-84.4102,
LARCENY-NON VEHICLE,170302867,01/30/2017,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,
LARCENY-FROM VEHICLE,170302923,01/30/2017,77 PEACHTREE PL NE,503,Midtown,E,33.78068,-84.38493,
LARCENY-FROM VEHICLE,170290005,01/29/2017,300 ATWOOD ST SW,104,West End,T,33.74692,-84.42851,
LARCENY-FROM VEHICLE,170290143,01/29/2017,210 PEACHTREE ST NW @WESTIN HOTEL,508,Downtown,M,33.75943,-84.38837,
AGG ASSAULT,170290184,01/29/2017,661 UNIVERSITY AVE SW,301,Adair Park,V,33.72275,-84.40906,
BURGLARY-RESIDENCE,170290288,01/29/2017,596 GLENWOOD PL SE,607,Ormewood Park,W,33.73799,-84.35463,
ROBBERY-PEDESTRIAN,170290289,01/29/2017,486 CALHOUN ST NW,501,Home Park,E,33.78271,-84.40308,
LARCENY-NON VEHICLE,170290293,01/29/2017,201 CARROLL ST SE,606,Cabbagetown,N,33.74912,-84.3682,
AUTO THEFT,170290359,01/29/2017,2100 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.697,-84.40768,
AUTO THEFT,170290477,01/29/2017,2839 ALLEGRO DR NW,112,Collier Heights,I,33.7748,-84.4806,
LARCENY-FROM VEHICLE,170290544,01/29/2017,1008 BRADY AVE NW,501,Home Park,E,33.78251,-84.41436,
LARCENY-FROM VEHICLE,170290604,01/29/2017,881 MARIETTA ST NW,504,Marietta Street Artery,E,33.77649,-84.40729,
AUTO THEFT,170290644,01/29/2017,400 LUCKIE ST NW,504,Downtown,M,33.76564,-84.39669,
BURGLARY-RESIDENCE,170290795,01/29/2017,610 GREENHAVEN DR SE,611,The Villages at East Lake,O,33.74141,-84.31132,
AGG ASSAULT,170290807,01/29/2017,2997 CAMPBELLTON RD SW,409,Southwest,R,33.6962,-84.48681,
LARCENY-FROM VEHICLE,170290812,01/29/2017,775 FORMWALT ST SW,303,Mechanicsville,V,33.73372,-84.39604,
LARCENY-FROM VEHICLE,170290848,01/29/2017,112 COURTLAND ST NE,510,Downtown,M,33.7574,-84.38475,
AUTO THEFT,170290878,01/29/2017,817 MAGNOLIA WAY NW,102,Vine City,L,33.75823,-84.41421,
AUTO THEFT,170290884,01/29/2017,751 FAIRBURN RD SW,407,Fairburn Mays,H,33.73454,-84.51059,
BURGLARY-NONRES,170290908,01/29/2017,1871 COUNTY LINE RD SW,412,,P,33.70427,-84.53709,
LARCENY-FROM VEHICLE,170290918,01/29/2017,556 NORTHSIDE DR.,303,English Avenue,L,33.76982,-84.4048,
ROBBERY-RESIDENCE,170290939,01/29/2017,4370 DANFORTH RD SW,412,Midwest Cascade,Q,33.72604,-84.53122,
LARCENY-FROM VEHICLE,170290946,01/29/2017,21 ELLIS ST NE,510,Downtown,M,33.75833,-84.38681,
LARCENY-FROM VEHICLE,170290959,01/29/2017,701 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76115,-84.36533,
LARCENY-FROM VEHICLE,170290979,01/29/2017,350 LELAND TER NE,610,Kirkwood,O,33.76342,-84.31375,
LARCENY-FROM VEHICLE,170291008,01/29/2017,1202 W MARIETTA ST NW,106,Knight Park/Howell Station,K,33.78524,-84.42667,
LARCENY-FROM VEHICLE,170291009,01/29/2017,1375 FUNSTON AVE SE,607,Benteen Park,W,33.71686,-84.36556,
LARCENY-NON VEHICLE,170291017,01/29/2017,1700 MONROE DR NE @KROGER - MONROE,213,Piedmont Heights,F,33.80052,-84.37307,
LARCENY-FROM VEHICLE,170291025,01/29/2017,759 COOPER ST SW,303,Mechanicsville,V,33.73415,-84.39741,
AGG ASSAULT,170291032,01/29/2017,564 ELBRIDGE DR NW,106,Bankhead,K,33.77067,-84.43291,
LARCENY-NON VEHICLE,170291036,01/29/2017,1739 CHESHIRE BRIDGE RD NE,213,Morningside/Lenox Park,F,33.80748,-84.36519,
AUTO THEFT,170291041,01/29/2017,651 UNIVERSITY AVE SW ,302,Pittsburgh,V,33.72218,-84.40786,
ROBBERY-PEDESTRIAN,170291046,01/29/2017,360 MARIETTA ST,507,Downtown,M,33.76134,-84.39603,
LARCENY-FROM VEHICLE,170291052,01/29/2017,311 ATWOOD ST SW,104,West End,T,33.74663,-84.42897,
AUTO THEFT,170291080,01/29/2017,3180 PEACHTREE RD NE,208,Buckhead Forest,B,33.84183,-84.3759,
LARCENY-FROM VEHICLE,170291116,01/29/2017,185 BOWEN CIR SW,305,High Point,Y,33.71767,-84.39527,
LARCENY-FROM VEHICLE,170291129,01/29/2017,3202 MATHIESON DR NE;,208,Buckhead Forest,B,33.84254,-84.37753,
LARCENY-FROM VEHICLE,170291133,01/29/2017,822 DIXIE AVE NE,602,Inman Park,N,33.75685,-84.36076,
LARCENY-FROM VEHICLE,170291142,01/29/2017,757 CLEVELAND AVE SW,309,Perkerson,X,33.68133,-84.41363,
LARCENY-FROM VEHICLE,170291152,01/29/2017,1077 JUNIPER ST NE,503,Midtown,E,33.78405,-84.382,
AUTO THEFT,170291175,01/29/2017,346 CLIFFORD AVE NE,610,Kirkwood,O,33.76316,-84.31577,
ROBBERY-PEDESTRIAN,170291177,01/29/2017,835 LEE ST SW,401,West End,T,33.73173,-84.41431,
LARCENY-FROM VEHICLE,170291198,01/29/2017,1195 MILTON TER SE,305,Chosewood Park,Y,33.72186,-84.38105,
AUTO THEFT,170291205,01/29/2017,1790 EVANS DR SW,306,Sylvan Hills,X,33.70605,-84.4226,
AUTO THEFT,170291212,01/29/2017,2290 COUNTY LINE RD SW,413,Elmco Estates,P,33.69253,-84.53363,
LARCENY-FROM VEHICLE,170291217,01/29/2017,923 MCDANIEL ST SW,302,Pittsburgh,V,33.7297,-84.40188,
LARCENY-FROM VEHICLE,170291219,01/29/2017,530 PIEDMONT AVE NE,509,Downtown,M,33.76909,-84.38208,
AUTO THEFT,170291278,01/29/2017,1521 PEACHTREE ST NE,502,Midtown,E,33.79607,-84.38745,
LARCENY-FROM VEHICLE,170291317,01/29/2017,17 BAKER ST NE,508,Downtown,M,33.76226,-84.38755,
LARCENY-NON VEHICLE,170291334,01/29/2017,3500 PEACHTREE ROAD  NE,208,North Buckhead,B,33.85252,-84.36116,
ROBBERY-PEDESTRIAN,170291335,01/29/2017,425 GREENHAVEN DR SE,611,The Villages at East Lake,O,33.74147,-84.31296,
LARCENY-NON VEHICLE,170291338,01/29/2017,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915,
LARCENY-NON VEHICLE,170291342,01/29/2017,640 EVANS ST SW,401,West End,T,33.73758,-84.41543,
AGG ASSAULT,170291499,01/29/2017,400 FAIRBURN RD SW @FAIRBURN TOWNHOUSES,407,Fairburn Mays,H,33.74214,-84.50923,
BURGLARY-RESIDENCE,170291523,01/29/2017,3379 STONE RD SW,414,,P,33.67304,-84.50104,
LARCENY-FROM VEHICLE,170291539,01/29/2017,655 CLEVELAND AVE SW,309,Perkerson,X,33.6824,-84.41029,
AUTO THEFT,170291564,01/29/2017,2997 CAMPBELLTON RD SW,409,Southwest,R,33.6962,-84.48681,
LARCENY-NON VEHICLE,170291777,01/29/2017,3334 PEACHTREE ROAD NE,208,North Buckhead,B,33.84911,-84.37075,
LARCENY-FROM VEHICLE,170291948,01/29/2017,1695 MARIETTA BLVD NW,203,Hills Park,D,33.80114,-84.44248,
LARCENY-NON VEHICLE,170292009,01/29/2017,3012 JONESBORO RD SE,313,South River Gardens,Z,33.67225,-84.37156,
LARCENY-FROM VEHICLE,170292054,01/29/2017,3996 CAMPBELLTON RD SW,413,Fairburn,P,33.69306,-84.51877,
LARCENY-FROM VEHICLE,170292097,01/29/2017,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643,
LARCENY-FROM VEHICLE,170292098,01/29/2017,3085 CAMPBELLTON RD SW,409,Southwest,R,33.69389,-84.48973,
AUTO THEFT,170292150,01/29/2017,2370 METROPOLITAN PKWY SW,309,Perkerson,X,33.69014,-84.40807,
AUTO THEFT,170292181,01/29/2017,956 MAYSON TURNER RD NW,105,Washington Park,K,33.75897,-84.41842,
LARCENY-FROM VEHICLE,170292196,01/29/2017,1341 MORELAND AVE SE,607,Woodland Hills,W,33.718,-84.34994,
LARCENY-FROM VEHICLE,170292200,01/29/2017,3655 ROSWELL RD NE,209,North Buckhead,B,33.85547,-84.38135,
AUTO THEFT,170292231,01/29/2017,1192 PRYOR ST,304,Peoplestown,V,33.72287,-84.3928,
AGG ASSAULT,170292232,01/29/2017,477 PEACHTREE ST NE,509,Downtown,M,33.76764,-84.38524,
LARCENY-FROM VEHICLE,170292242,01/29/2017,909 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77347,-84.35767,
LARCENY-FROM VEHICLE,170292257,01/29/2017,3457 ROSWELL RD NE,209,East Chastain Park,B,33.85732,-84.38199,
ROBBERY-PEDESTRIAN,170292325,01/29/2017,2453 CORONET WAY NW,201,,C,33.8209,-84.44958,
BURGLARY-RESIDENCE,170292345,01/29/2017,870 MAYSON TURNER RD NW,102,Vine City,L,33.756,-84.41629,
LARCENY-FROM VEHICLE,170292365,01/29/2017,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119,
ROBBERY-PEDESTRIAN,170292372,01/29/2017,1350 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76333,-84.43206,
LARCENY-FROM VEHICLE,170292375,01/29/2017,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77331,-84.40403,
LARCENY-NON VEHICLE,170298060,01/29/2017,GATE B28 @9700 SPINE RD,703,,,33.64201,-84.43652,
LARCENY-FROM VEHICLE,170282757,01/29/2017,496 PLASTERS AVE NE,212,Piedmont Heights,F,33.81034,-84.36852,
ROBBERY-PEDESTRIAN,170282760,01/28/2017,1245 FOWLER ST NW,501,Home Park,E,33.78891,-84.39313,
LARCENY-FROM VEHICLE,170282761,01/28/2017,1163 METROPOLITAN PKWY SW,301,Adair Park,V,33.72317,-84.40816,
BURGLARY-RESIDENCE,170282788,01/28/2017,1000 PEACHTREE PARK DR NE,207,,E,33.81353,-84.38943,
